Year,State,Rate,Deaths,Name,Population,PovertyCount,PovertyRate,UnemploymentRate,NoCompletedEducation,PopulationWithHighSchoolDiploma,PopulationWithAssociatesDegree,PopulationWithBachelorsDegree,WhitePop,BlackPop,NativeAmericanPop,AsianPop,NativeHawaiianPop,HispanicPop,TwoOrMoreRacesPop
2019,AL,7.89,449,Alabama,4876250.0,795989.0,16.323793899000258,2.7089464239938477,40837.0,841716.0,282316.0,529178.0,3320247.0,1299048.0,25565.0,66270.0,2238.0,208626.0,92220.0
2018,AL,6.94,401,Alabama,4876250.0,795989.0,16.323793899000258,2.7089464239938477,40837.0,841716.0,282316.0,529178.0,3320247.0,1299048.0,25565.0,66270.0,2238.0,208626.0,92220.0
2017,AL,7.38,435,Alabama,4876250.0,795989.0,16.323793899000258,2.7089464239938477,40837.0,841716.0,282316.0,529178.0,3320247.0,1299048.0,25565.0,66270.0,2238.0,208626.0,92220.0
2016,AL,9.03,534,Alabama,4876250.0,795989.0,16.323793899000258,2.7089464239938477,40837.0,841716.0,282316.0,529178.0,3320247.0,1299048.0,25565.0,66270.0,2238.0,208626.0,92220.0
2015,AL,8.31,496,Alabama,4876250.0,795989.0,16.323793899000258,2.7089464239938477,40837.0,841716.0,282316.0,529178.0,3320247.0,1299048.0,25565.0,66270.0,2238.0,208626.0,92220.0
2019,AK,4.81,48,Alaska,737068.0,76933.0,10.437707240037554,3.6371135363358604,3434.0,108797.0,41109.0,88058.0,476015.0,24205.0,109751.0,45920.0,9204.0,51870.0,60665.0
2018,AK,6.25,63,Alaska,737068.0,76933.0,10.437707240037554,3.6371135363358604,3434.0,108797.0,41109.0,88058.0,476015.0,24205.0,109751.0,45920.0,9204.0,51870.0,60665.0
2017,AK,5.74,60,Alaska,737068.0,76933.0,10.437707240037554,3.6371135363358604,3434.0,108797.0,41109.0,88058.0,476015.0,24205.0,109751.0,45920.0,9204.0,51870.0,60665.0
2016,AK,5.17,58,Alaska,737068.0,76933.0,10.437707240037554,3.6371135363358604,3434.0,108797.0,41109.0,88058.0,476015.0,24205.0,109751.0,45920.0,9204.0,51870.0,60665.0
2015,AK,6.91,78,Alaska,737068.0,76933.0,10.437707240037554,3.6371135363358604,3434.0,108797.0,41109.0,88058.0,476015.0,24205.0,109751.0,45920.0,9204.0,51870.0,60665.0
2019,AZ,5.24,429,Arizona,7050299.0,1043764.0,14.804535240278462,2.778676478827352,71270.0,940168.0,408312.0,869452.0,5444453.0,317462.0,317414.0,233213.0,14458.0,2208663.0,263037.0
2018,AZ,5.71,461,Arizona,7050299.0,1043764.0,14.804535240278462,2.778676478827352,71270.0,940168.0,408312.0,869452.0,5444453.0,317462.0,317414.0,233213.0,14458.0,2208663.0,263037.0
2017,AZ,5.7,467,Arizona,7050299.0,1043764.0,14.804535240278462,2.778676478827352,71270.0,940168.0,408312.0,869452.0,5444453.0,317462.0,317414.0,233213.0,14458.0,2208663.0,263037.0
2016,AZ,5.32,450,Arizona,7050299.0,1043764.0,14.804535240278462,2.778676478827352,71270.0,940168.0,408312.0,869452.0,5444453.0,317462.0,317414.0,233213.0,14458.0,2208663.0,263037.0
2015,AZ,5.47,467,Arizona,7050299.0,1043764.0,14.804535240278462,2.778676478827352,71270.0,940168.0,408312.0,869452.0,5444453.0,317462.0,317414.0,233213.0,14458.0,2208663.0,263037.0
2019,AR,6.9,251,Arkansas,2999370.0,496260.0,16.545474549655427,2.3498601372954986,23602.0,559816.0,143979.0,297250.0,2301044.0,459542.0,20434.0,45504.0,8733.0,224130.0,80537.0
2018,AR,7.51,278,Arkansas,2999370.0,496260.0,16.545474549655427,2.3498601372954986,23602.0,559816.0,143979.0,297250.0,2301044.0,459542.0,20434.0,45504.0,8733.0,224130.0,80537.0
2017,AR,8.1,304,Arkansas,2999370.0,496260.0,16.545474549655427,2.3498601372954986,23602.0,559816.0,143979.0,297250.0,2301044.0,459542.0,20434.0,45504.0,8733.0,224130.0,80537.0
2016,AR,8.2,314,Arkansas,2999370.0,496260.0,16.545474549655427,2.3498601372954986,23602.0,559816.0,143979.0,297250.0,2301044.0,459542.0,20434.0,45504.0,8733.0,224130.0,80537.0
2015,AR,7.53,293,Arkansas,2999370.0,496260.0,16.545474549655427,2.3498601372954986,23602.0,559816.0,143979.0,297250.0,2301044.0,459542.0,20434.0,45504.0,8733.0,224130.0,80537.0
2019,CA,4.06,1879,California,39283497.0,5149742.0,13.109174063602332,3.052765388987645,713452.0,4813250.0,2073823.0,5603047.0,23453222.0,2274108.0,303998.0,5692423.0,155290.0,15327688.0,1922664.0
2018,CA,4.21,1917,California,39283497.0,5149742.0,13.109174063602332,3.052765388987645,713452.0,4813250.0,2073823.0,5603047.0,23453222.0,2274108.0,303998.0,5692423.0,155290.0,15327688.0,1922664.0
2017,CA,4.2,1981,California,39283497.0,5149742.0,13.109174063602332,3.052765388987645,713452.0,4813250.0,2073823.0,5603047.0,23453222.0,2274108.0,303998.0,5692423.0,155290.0,15327688.0,1922664.0
2016,CA,4.22,2063,California,39283497.0,5149742.0,13.109174063602332,3.052765388987645,713452.0,4813250.0,2073823.0,5603047.0,23453222.0,2274108.0,303998.0,5692423.0,155290.0,15327688.0,1922664.0
2015,CA,4.43,2178,California,39283497.0,5149742.0,13.109174063602332,3.052765388987645,713452.0,4813250.0,2073823.0,5603047.0,23453222.0,2274108.0,303998.0,5692423.0,155290.0,15327688.0,1922664.0
2019,CO,4.74,306,Colorado,5610349.0,565873.0,10.086235276985443,2.3415833845630636,37709.0,667781.0,321903.0,981017.0,4712574.0,233647.0,54847.0,178147.0,8643.0,1208172.0,205724.0
2018,CO,4.75,299,Colorado,5610349.0,565873.0,10.086235276985443,2.3415833845630636,37709.0,667781.0,321903.0,981017.0,4712574.0,233647.0,54847.0,178147.0,8643.0,1208172.0,205724.0
2017,CO,4.49,289,Colorado,5610349.0,565873.0,10.086235276985443,2.3415833845630636,37709.0,667781.0,321903.0,981017.0,4712574.0,233647.0,54847.0,178147.0,8643.0,1208172.0,205724.0
2016,CO,4.76,317,Colorado,5610349.0,565873.0,10.086235276985443,2.3415833845630636,37709.0,667781.0,321903.0,981017.0,4712574.0,233647.0,54847.0,178147.0,8643.0,1208172.0,205724.0
2015,CO,4.66,310,Colorado,5610349.0,565873.0,10.086235276985443,2.3415833845630636,37709.0,667781.0,321903.0,981017.0,4712574.0,233647.0,54847.0,178147.0,8643.0,1208172.0,205724.0
2019,CT,4.42,153,Connecticut,3575074.0,344146.0,9.626262281563962,3.2574430627170234,26484.0,588032.0,191964.0,541380.0,2714031.0,383416.0,9955.0,161257.0,1123.0,574240.0,119000.0
2018,CT,4.2,146,Connecticut,3575074.0,344146.0,9.626262281563962,3.2574430627170234,26484.0,588032.0,191964.0,541380.0,2714031.0,383416.0,9955.0,161257.0,1123.0,574240.0,119000.0
2017,CT,4.51,159,Connecticut,3575074.0,344146.0,9.626262281563962,3.2574430627170234,26484.0,588032.0,191964.0,541380.0,2714031.0,383416.0,9955.0,161257.0,1123.0,574240.0,119000.0
2016,CT,4.78,172,Connecticut,3575074.0,344146.0,9.626262281563962,3.2574430627170234,26484.0,588032.0,191964.0,541380.0,2714031.0,383416.0,9955.0,161257.0,1123.0,574240.0,119000.0
2015,CT,5.65,202,Connecticut,3575074.0,344146.0,9.626262281563962,3.2574430627170234,26484.0,588032.0,191964.0,541380.0,2714031.0,383416.0,9955.0,161257.0,1123.0,574240.0,119000.0
2019,DE,6.22,66,Delaware,957248.0,109400.0,11.42859530654543,2.766367754228789,6505.0,187323.0,52636.0,124632.0,658237.0,212302.0,3729.0,37009.0,542.0,88364.0,27079.0
2018,DE,5.93,63,Delaware,957248.0,109400.0,11.42859530654543,2.766367754228789,6505.0,187323.0,52636.0,124632.0,658237.0,212302.0,3729.0,37009.0,542.0,88364.0,27079.0
2017,DE,6.26,68,Delaware,957248.0,109400.0,11.42859530654543,2.766367754228789,6505.0,187323.0,52636.0,124632.0,658237.0,212302.0,3729.0,37009.0,542.0,88364.0,27079.0
2016,DE,7.82,86,Delaware,957248.0,109400.0,11.42859530654543,2.766367754228789,6505.0,187323.0,52636.0,124632.0,658237.0,212302.0,3729.0,37009.0,542.0,88364.0,27079.0
2015,DE,9.13,102,Delaware,957248.0,109400.0,11.42859530654543,2.766367754228789,6505.0,187323.0,52636.0,124632.0,658237.0,212302.0,3729.0,37009.0,542.0,88364.0,27079.0
2019,FL,6.01,1330,Florida,20901636.0,2870487.0,13.733312550271185,2.686143802332028,224991.0,3647514.0,1468744.0,2827938.0,15702256.0,3359031.0,59320.0,571276.0,12653.0,5346684.0,572021.0
2018,FL,6.04,1339,Florida,20901636.0,2870487.0,13.733312550271185,2.686143802332028,224991.0,3647514.0,1468744.0,2827938.0,15702256.0,3359031.0,59320.0,571276.0,12653.0,5346684.0,572021.0
2017,FL,6.1,1364,Florida,20901636.0,2870487.0,13.733312550271185,2.686143802332028,224991.0,3647514.0,1468744.0,2827938.0,15702256.0,3359031.0,59320.0,571276.0,12653.0,5346684.0,572021.0
2016,FL,6.14,1382,Florida,20901636.0,2870487.0,13.733312550271185,2.686143802332028,224991.0,3647514.0,1468744.0,2827938.0,15702256.0,3359031.0,59320.0,571276.0,12653.0,5346684.0,572021.0
2015,FL,6.24,1399,Florida,20901636.0,2870487.0,13.733312550271185,2.686143802332028,224991.0,3647514.0,1468744.0,2827938.0,15702256.0,3359031.0,59320.0,571276.0,12653.0,5346684.0,572021.0
2019,GA,6.98,888,Georgia,10403847.0,1528558.0,14.69223836144457,2.7928130815457015,92308.0,1582994.0,538144.0,1324801.0,6098889.0,3289020.0,37440.0,414481.0,6233.0,992394.0,265912.0
2018,GA,7.05,889,Georgia,10403847.0,1528558.0,14.69223836144457,2.7928130815457015,92308.0,1582994.0,538144.0,1324801.0,6098889.0,3289020.0,37440.0,414481.0,6233.0,992394.0,265912.0
2017,GA,7.18,928,Georgia,10403847.0,1528558.0,14.69223836144457,2.7928130815457015,92308.0,1582994.0,538144.0,1324801.0,6098889.0,3289020.0,37440.0,414481.0,6233.0,992394.0,265912.0
2016,GA,7.47,972,Georgia,10403847.0,1528558.0,14.69223836144457,2.7928130815457015,92308.0,1582994.0,538144.0,1324801.0,6098889.0,3289020.0,37440.0,414481.0,6233.0,992394.0,265912.0
2015,GA,7.79,1024,Georgia,10403847.0,1528558.0,14.69223836144457,2.7928130815457015,92308.0,1582994.0,538144.0,1324801.0,6098889.0,3289020.0,37440.0,414481.0,6233.0,992394.0,265912.0
2019,HI,5.06,85,Hawaii,1422094.0,130649.0,9.187086085729916,2.1284809583614024,10456.0,247978.0,106509.0,215777.0,354847.0,26025.0,3710.0,537355.0,142997.0,149118.0,339727.0
2018,HI,6.78,115,Hawaii,1422094.0,130649.0,9.187086085729916,2.1284809583614024,10456.0,247978.0,106509.0,215777.0,354847.0,26025.0,3710.0,537355.0,142997.0,149118.0,339727.0
2017,HI,5.42,95,Hawaii,1422094.0,130649.0,9.187086085729916,2.1284809583614024,10456.0,247978.0,106509.0,215777.0,354847.0,26025.0,3710.0,537355.0,142997.0,149118.0,339727.0
2016,HI,6.04,109,Hawaii,1422094.0,130649.0,9.187086085729916,2.1284809583614024,10456.0,247978.0,106509.0,215777.0,354847.0,26025.0,3710.0,537355.0,142997.0,149118.0,339727.0
2015,HI,5.65,104,Hawaii,1422094.0,130649.0,9.187086085729916,2.1284809583614024,10456.0,247978.0,106509.0,215777.0,354847.0,26025.0,3710.0,537355.0,142997.0,149118.0,339727.0
2019,ID,4.39,97,Idaho,1717750.0,221256.0,12.880570513753456,2.0887207102314074,10691.0,246382.0,109602.0,207179.0,1545409.0,11918.0,23136.0,24287.0,2755.0,215476.0,50569.0
2018,ID,5.05,108,Idaho,1717750.0,221256.0,12.880570513753456,2.0887207102314074,10691.0,246382.0,109602.0,207179.0,1545409.0,11918.0,23136.0,24287.0,2755.0,215476.0,50569.0
2017,ID,4.55,101,Idaho,1717750.0,221256.0,12.880570513753456,2.0887207102314074,10691.0,246382.0,109602.0,207179.0,1545409.0,11918.0,23136.0,24287.0,2755.0,215476.0,50569.0
2016,ID,5.83,131,Idaho,1717750.0,221256.0,12.880570513753456,2.0887207102314074,10691.0,246382.0,109602.0,207179.0,1545409.0,11918.0,23136.0,24287.0,2755.0,215476.0,50569.0
2015,ID,4.69,107,Idaho,1717750.0,221256.0,12.880570513753456,2.0887207102314074,10691.0,246382.0,109602.0,207179.0,1545409.0,11918.0,23136.0,24287.0,2755.0,215476.0,50569.0
2019,IL,5.52,794,Illinois,12770631.0,1557873.0,12.198872553752434,3.0928855434003224,112285.0,1941914.0,700533.0,1831438.0,9134903.0,1813590.0,33460.0,698524.0,4477.0,2186387.0,328446.0
2018,IL,6.55,949,Illinois,12770631.0,1557873.0,12.198872553752434,3.0928855434003224,112285.0,1941914.0,700533.0,1831438.0,9134903.0,1813590.0,33460.0,698524.0,4477.0,2186387.0,328446.0
2017,IL,6.12,915,Illinois,12770631.0,1557873.0,12.198872553752434,3.0928855434003224,112285.0,1941914.0,700533.0,1831438.0,9134903.0,1813590.0,33460.0,698524.0,4477.0,2186387.0,328446.0
2016,IL,6.38,985,Illinois,12770631.0,1557873.0,12.198872553752434,3.0928855434003224,112285.0,1941914.0,700533.0,1831438.0,9134903.0,1813590.0,33460.0,698524.0,4477.0,2186387.0,328446.0
2015,IL,6,948,Illinois,12770631.0,1557873.0,12.198872553752434,3.0928855434003224,112285.0,1941914.0,700533.0,1831438.0,9134903.0,1813590.0,33460.0,698524.0,4477.0,2186387.0,328446.0
2019,IN,6.53,525,Indiana,6665703.0,867996.0,13.021822304414103,2.420614899883778,41362.0,1249644.0,387910.0,749078.0,5553391.0,626587.0,15782.0,151979.0,2506.0,461850.0,169711.0
2018,IN,6.72,549,Indiana,6665703.0,867996.0,13.021822304414103,2.420614899883778,41362.0,1249644.0,387910.0,749078.0,5553391.0,626587.0,15782.0,151979.0,2506.0,461850.0,169711.0
2017,IN,7.22,593,Indiana,6665703.0,867996.0,13.021822304414103,2.420614899883778,41362.0,1249644.0,387910.0,749078.0,5553391.0,626587.0,15782.0,151979.0,2506.0,461850.0,169711.0
2016,IN,7.39,614,Indiana,6665703.0,867996.0,13.021822304414103,2.420614899883778,41362.0,1249644.0,387910.0,749078.0,5553391.0,626587.0,15782.0,151979.0,2506.0,461850.0,169711.0
2015,IN,7.31,614,Indiana,6665703.0,867996.0,13.021822304414103,2.420614899883778,41362.0,1249644.0,387910.0,749078.0,5553391.0,626587.0,15782.0,151979.0,2506.0,461850.0,169711.0
2019,IA,5.03,189,Iowa,3139508.0,348122.0,11.088425320145705,1.993082992621774,16715.0,565444.0,242125.0,403801.0,2826070.0,116359.0,11976.0,75741.0,3729.0,188311.0,66585.0
2018,IA,4.98,188,Iowa,3139508.0,348122.0,11.088425320145705,1.993082992621774,16715.0,565444.0,242125.0,403801.0,2826070.0,116359.0,11976.0,75741.0,3729.0,188311.0,66585.0
2017,IA,5.31,204,Iowa,3139508.0,348122.0,11.088425320145705,1.993082992621774,16715.0,565444.0,242125.0,403801.0,2826070.0,116359.0,11976.0,75741.0,3729.0,188311.0,66585.0
2016,IA,5.96,235,Iowa,3139508.0,348122.0,11.088425320145705,1.993082992621774,16715.0,565444.0,242125.0,403801.0,2826070.0,116359.0,11976.0,75741.0,3729.0,188311.0,66585.0
2015,IA,4.23,167,Iowa,3139508.0,348122.0,11.088425320145705,1.993082992621774,16715.0,565444.0,242125.0,403801.0,2826070.0,116359.0,11976.0,75741.0,3729.0,188311.0,66585.0
2019,KS,5.69,201,Kansas,2910652.0,337739.0,11.603551369246478,2.0958190810856125,17522.0,416403.0,165119.0,400938.0,2455935.0,170291.0,24010.0,85794.0,2382.0,345680.0,100557.0
2018,KS,6.37,231,Kansas,2910652.0,337739.0,11.603551369246478,2.0958190810856125,17522.0,416403.0,165119.0,400938.0,2455935.0,170291.0,24010.0,85794.0,2382.0,345680.0,100557.0
2017,KS,6.02,220,Kansas,2910652.0,337739.0,11.603551369246478,2.0958190810856125,17522.0,416403.0,165119.0,400938.0,2455935.0,170291.0,24010.0,85794.0,2382.0,345680.0,100557.0
2016,KS,5.99,228,Kansas,2910652.0,337739.0,11.603551369246478,2.0958190810856125,17522.0,416403.0,165119.0,400938.0,2455935.0,170291.0,24010.0,85794.0,2382.0,345680.0,100557.0
2015,KS,5.95,233,Kansas,2910652.0,337739.0,11.603551369246478,2.0958190810856125,17522.0,416403.0,165119.0,400938.0,2455935.0,170291.0,24010.0,85794.0,2382.0,345680.0,100557.0
2019,KY,5,266,Kentucky,4449052.0,747010.0,16.790318476835065,2.6285374951787484,32406.0,792393.0,251136.0,428846.0,3868479.0,358928.0,9386.0,65191.0,3182.0,162994.0,100285.0
